,Unnamed: 0,Name,mz,rt_start,rt_end,Charge,Product mz,CE,Normalized Intensity
2991,886,Compound 838,556.3255005,0.905631282,1.152175344,-1,173.49,35.07877586934646,68161.47988903764
2992,886,Compound 838,556.3255005,0.905631282,1.152175344,-1,153.0,30.99744899898651,65518.350208546864
2993,888,Compound 190,346.055481,6.194031516,6.401403321,-1,78.96,41.71224254774581,53667.09929177185
2994,888,Compound 190,346.055481,6.194031516,6.401403321,-1,96.97,21.305608195946064,16863.840237469933
2995,888,Compound 190,346.055481,6.194031516,6.401403321,-1,134.05,29.46826193666596,12054.294702908566
2996,888,Compound 190,346.055481,6.194031516,6.401403321,-1,173.48,33.54958880702591,4591.519170266849
2997,888,Compound 190,346.055481,6.194031516,6.401403321,-1,211.0,17.224281325586116,4526.704032094404
2998,889,Compound 840,177.02265930000004,1.7078169369999998,1.850428608,-1,75.01,12.714075812297775,7538.122114528318
2999,889,Compound 840,177.02265930000004,1.7078169369999998,1.850428608,-1,85.03,8.632748941937827,2955.5373064243404
3000,889,Compound 840,177.02265930000004,1.7078169369999998,1.850428608,-1,74.0,16.795402682657723,2434.99469885325
3001,889,Compound 840,177.02265930000004,1.7078169369999998,1.850428608,-1,72.99,16.795402682657723,2404.8700441064307
3002,889,Compound 840,177.02265930000004,1.7078169369999998,1.850428608,-1,57.0,16.795402682657723,1567.8141573717207
3003,891,Compound 81,148.04373169999997,4.505905182,4.970487307,-1,100.04,7.859520892401552,1739.915807306867
3004,891,Compound 81,148.04373169999997,4.505905182,4.970487307,-1,62.52,18.06283806830142,1338.7849776967737
3005,891,Compound 81,148.04373169999997,4.505905182,4.970487307,-1,69.63,13.981511197941472,1128.8344303467418
3006,891,Compound 81,148.04373169999997,4.505905182,4.970487307,-1,101.17,36.42880898492118,977.4285348036485
3007,891,Compound 81,148.04373169999997,4.505905182,4.970487307,-1,75.4,28.26615524420129,946.2488095293621
3008,892,Compound 842,260.8798523,13.50934749,13.73613564,-1,204.91,14.95158903839027,56576.391582609685
3009,892,Compound 842,260.8798523,13.50934749,13.73613564,-1,57.0,27.195569649470112,20111.24923085954
3010,892,Compound 842,260.8798523,13.50934749,13.73613564,-1,59.98,39.43955026054996,20072.84184860978
3011,892,Compound 842,260.8798523,13.50934749,13.73613564,-1,173.48,16.992252473570243,13499.319417883768
3012,892,Compound 842,260.8798523,13.50934749,13.73613564,-1,173.49,35.35822339019001,12890.577798268047
3013,893,Compound 843,129.01925659999998,2.63835752,3.132505128,-1,57.03,7.351901770739353,15039.15931422823
3014,893,Compound 843,129.01925659999998,2.63835752,3.132505128,-1,67.02,15.51455551145925,7074.161564946497
3015,893,Compound 843,129.01925659999998,2.63835752,3.132505128,-1,85.03,7.351901770739353,4704.330000324668
3016,893,Compound 843,129.01925659999998,2.63835752,3.132505128,-1,55.02,13.473892076279276,1772.9277331962746
3017,893,Compound 843,129.01925659999998,2.63835752,3.132505128,-1,66.03,13.473892076279276,991.3061960933597
3018,895,Compound 845,101.024437,1.564689589,1.814665265,-1,54.92,35.17422020119227,1935.924839279316
3019,895,Compound 845,101.024437,1.564689589,1.814665265,-1,75.99,27.011566460472377,1826.6096477962146
3020,895,Compound 845,101.024437,1.564689589,1.814665265,-1,58.65,14.767585849392534,1638.0582128608912
3021,895,Compound 845,101.024437,1.564689589,1.814665265,-1,75.12,12.72692241421256,1534.917037239809
3022,895,Compound 845,101.024437,1.564689589,1.814665265,-1,54.49,14.767585849392534,1514.1723236774933
3023,896,Compound 846,310.1257019,6.2260745470000005,6.473856686,-1,130.06,12.184260834908692,22649.545333512415
3024,896,Compound 846,310.1257019,6.2260745470000005,6.473856686,-1,88.04,24.428241445988533,19102.142770927312
3025,896,Compound 846,310.1257019,6.2260745470000005,6.473856686,-1,173.48,40.75354892742833,9486.186468341897
3026,896,Compound 846,310.1257019,6.2260745470000005,6.473856686,-1,173.49,28.50956831634848,7863.610297079058
3027,896,Compound 846,310.1257019,6.2260745470000005,6.473856686,-1,173.47,18.306251140448612,4289.9887321486785
3028,898,Compound 848,322.9884644,3.229857922,3.474281114,-1,78.92,20.69012426567672,73224.82904653174
3029,898,Compound 848,322.9884644,3.229857922,3.474281114,-1,173.49,24.771451136036667,6579.372494126633
3030,898,Compound 848,322.9884644,3.229857922,3.474281114,-1,173.48,12.527470524956826,6523.826245866453
3031,898,Compound 848,322.9884644,3.229857922,3.474281114,-1,173.47,32.934104876756564,3938.315534156927
3032,898,Compound 848,322.9884644,3.229857922,3.474281114,-1,173.5,37.015431747116516,1907.571679363783
3033,901,Compound 850,114.9362564,1.324110029,1.806416767,-1,71.01,6.976133180314878,23542.740670183226
3034,901,Compound 850,114.9362564,1.324110029,1.806416767,-1,97.93,19.22011379139472,11036.733404555433
3035,901,Compound 850,114.9362564,1.324110029,1.806416767,-1,71.05,6.976133180314878,3059.477314669922
3036,901,Compound 850,114.9362564,1.324110029,1.806416767,-1,53.78,19.22011379139472,1421.9393935793746
3037,901,Compound 850,114.9362564,1.324110029,1.806416767,-1,87.83,31.464094402474565,1321.0170096064237
3038,902,Compound 851,824.7265014999998,12.94041604,13.6869077,-1,400.87,46.32169220089867,238007.30576453297
3039,902,Compound 851,824.7265014999998,12.94041604,13.6869077,-1,612.8,38.15903846017877,158047.6551014058
3040,902,Compound 851,824.7265014999998,12.94041604,13.6869077,-1,188.94,54.484345941618564,131286.84334088134
3041,902,Compound 851,824.7265014999998,12.94041604,13.6869077,-1,506.83,42.240365330538715,126116.44913898298
3042,902,Compound 851,824.7265014999998,12.94041604,13.6869077,-1,718.76,36.1183750249988,123034.95841099578
3043,903,Compound 852,267.0737305,4.073103307,4.423097767,-1,135.03,21.238847031739706,81253.98796590169
3044,903,Compound 852,267.0737305,4.073103307,4.423097767,-1,92.03,35.52349107799952,14135.73045657869
3045,903,Compound 852,267.0737305,4.073103307,4.423097767,-1,126.03,35.52349107799952,11281.690854158105
3046,903,Compound 852,267.0737305,4.073103307,4.423097767,-1,108.02,31.442164207639575,11053.549675276345
3047,903,Compound 852,267.0737305,4.073103307,4.423097767,-1,173.48,17.157520161379757,8077.189741558702
3048,904,Compound 853,150.0229492,4.87634807,5.165875636,-1,62.99,7.91233121403447,8614.712549878064
3049,904,Compound 853,150.0229492,4.87634807,5.165875636,-1,59.01,16.074984954754363,2037.36594363995
3050,904,Compound 853,150.0229492,4.87634807,5.165875636,-1,60.02,14.034321519574393,1806.7657089281495
3051,904,Compound 853,150.0229492,4.87634807,5.165875636,-1,132.04,7.91233121403447,1589.9207024179686
3052,904,Compound 853,150.0229492,4.87634807,5.165875636,-1,132.37,20.15631182511431,1307.3570265155395
3053,905,Compound 51,168.077774,5.26735002,5.551487454,-1,125.02,14.516068020256604,25669.1418064312
3054,905,Compound 51,168.077774,5.26735002,5.551487454,-1,124.02,14.516068020256604,9158.07808611658
3055,905,Compound 51,168.077774,5.26735002,5.551487454,-1,124.01,12.47540458507663,8468.522060909207
3056,905,Compound 51,168.077774,5.26735002,5.551487454,-1,97.02,14.516068020256604,5032.518786218578
3057,905,Compound 51,168.077774,5.26735002,5.551487454,-1,69.01,16.556731455436577,4576.358339995798
3058,906,Compound 854,271.004364,5.970153495,6.328387827999999,-1,124.01,19.303062428399144,70462.49614287242
3059,906,Compound 854,271.004364,5.970153495,6.328387827999999,-1,79.96,39.70969678019888,52032.64512205374
3060,906,Compound 854,271.004364,5.970153495,6.328387827999999,-1,173.48,39.70969678019888,5032.09368613493
3061,906,Compound 854,271.004364,5.970153495,6.328387827999999,-1,173.49,17.26239899321917,4321.415730992637
3062,906,Compound 854,271.004364,5.970153495,6.328387827999999,-1,173.47,23.384389298759093,1472.716347837099
3063,908,Compound 163,184.0978699,4.102054293,4.406586363,-1,72.05,19.024849890923086,2617.2184186884415
3064,908,Compound 163,184.0978699,4.102054293,4.406586363,-1,84.05,16.98418645574311,2097.129057383937
3065,908,Compound 163,184.0978699,4.102054293,4.406586363,-1,59.01,14.94352302056314,1914.1056010619363
3066,908,Compound 163,184.0978699,4.102054293,4.406586363,-1,140.11,16.98418645574311,1092.8096901974518
3067,908,Compound 163,184.0978699,4.102054293,4.406586363,-1,166.09,14.94352302056314,1019.9900581947179
3068,909,Compound 856,146.0821991,4.767975362,5.158397932,-1,57.03,18.010499622678616,8773.59602719023
3069,909,Compound 856,146.0821991,4.767975362,5.158397932,-1,128.07,7.8071824467787465,7968.043873866124
3070,909,Compound 856,146.0821991,4.767975362,5.158397932,-1,69.03,20.051163057858588,1450.627750598688
3071,909,Compound 856,146.0821991,4.767975362,5.158397932,-1,128.04,7.8071824467787465,1392.9997810274492
3072,909,Compound 856,146.0821991,4.767975362,5.158397932,-1,100.08,11.888509317138695,1249.4130626718022
3073,911,Compound 526,343.9944458,6.028891844,6.378279,-1,300.01,17.169287909345222,37177.533599835755
3074,911,Compound 526,343.9944458,6.028891844,6.378279,-1,256.02,19.209951344525194,21842.08042171967
3075,911,Compound 526,343.9944458,6.028891844,6.378279,-1,212.03,21.25061477970517,16323.061401483617
3076,911,Compound 526,343.9944458,6.028891844,6.378279,-1,173.48,33.494595390785015,14056.66166221751
3077,911,Compound 526,343.9944458,6.028891844,6.378279,-1,173.49,17.169287909345222,11963.93820259349
3078,915,Compound 861,119.0347214,6.101700315,6.505387982999999,-1,59.01,7.085490163491946,3988.9027806412932
3079,915,Compound 861,119.0347214,6.101700315,6.505387982999999,-1,76.47,13.207480469031868,1625.921199101863
